did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,inference_mean,inference_median,inference_std,inference_min,inference_max,end_to_end_mean,end_to_end_median,count,mean_metric
15,breast-w,looped_transformer_6physical_core4x2,683,9,972,341,0.017691006772220134,0.017486780881881714,0.0006881394676795895,0.017204145900905132,0.02030772529542446,0.08581946637481451,0.09067781362682581,25,0.9943786263465881
15,breast-w,tabpfn,683,9,972,341,0.0206509929895401,0.020576395094394684,0.0004226551003996707,0.02030655462294817,0.022553621791303158,0.10074023507535458,0.09942015539854765,25,0.99424889087677
16,mfeat-karhunen,hybrid_8l,2000,64,972,512,0.042489908300340176,0.041845351457595825,0.0021117426787789747,0.04157094284892082,0.05131579656153917,0.5573402898013592,0.34483796916902065,25,0.9960234880447387
16,mfeat-karhunen,hydra,2000,64,972,512,0.06531480867415666,0.06442204676568508,0.0031236755363127323,0.06417861673980951,0.07959313225001097,0.570847171023488,0.48851249273866415,25,0.9893655776977539
16,mfeat-karhunen,looped_transformer_6physical_core4x2,2000,64,972,512,0.0484061698615551,0.0477387486025691,0.0021258356118900516,0.047424192540347576,0.05675704497843981,0.5749980703741312,0.3624172667041421,25,0.9968925356864929
16,mfeat-karhunen,tabpfn,2000,64,972,512,0.05738404668867588,0.05650627985596657,0.0039001912800047034,0.05629485007375479,0.07596825435757637,0.5611091591790318,0.39764952939003706,25,0.9964430451393127
18,mfeat-morphological,hybrid_8l,2000,6,972,512,0.03701826434582472,0.03506634850054979,0.003927998655491651,0.0348341790959239,0.04963057301938534,0.1718941780179739,0.14921924844384193,25,0.9637102127075196
18,mfeat-morphological,hydra,2000,6,972,512,0.05627756029367447,0.05392542015761137,0.0044794871613408945,0.05372828710824251,0.06770136952400208,0.1792674132063985,0.1727229906246066,25,0.9585434556007385
18,mfeat-morphological,looped_transformer_6physical_core4x2,2000,6,972,512,0.04142066590487957,0.03987273573875427,0.003181593663435422,0.039704266004264355,0.047784474678337574,0.16136829409748316,0.16183181572705507,25,0.9631436586380004
18,mfeat-morphological,tabpfn,2000,6,972,512,0.050494438000023366,0.047466122545301914,0.004340230815135492,0.04708019085228443,0.05676057189702988,0.1815693274512887,0.1370104169473052,25,0.9629407286643982
22,mfeat-zernike,hybrid_8l,2000,47,972,512,0.04167871255427599,0.041830974631011486,0.0014713433721863585,0.035110972821712494,0.04447141848504543,0.3868641939759254,0.3427429609000683,25,0.9807558298110962
22,mfeat-zernike,hydra,2000,47,972,512,0.06429489519447089,0.06436198391020298,0.001951446121470425,0.05583172198385,0.06777472048997879,0.4464355618134141,0.3530152225866914,25,0.9668295502662658
22,mfeat-zernike,looped_transformer_6physical_core4x2,2000,47,972,512,0.04792168390005827,0.04773978050798178,0.0006323599495943529,0.04757109098136425,0.05053082760423422,0.4241486341133714,0.35672952979803085,25,0.9816611886024476
22,mfeat-zernike,tabpfn,2000,47,972,512,0.056632241941988466,0.05661356262862682,0.0023740678480154718,0.04733026400208473,0.06285928655415773,0.48370012935251,0.4104013694450259,25,0.9825703024864196
23,cmc,hybrid_8l,1473,9,972,512,0.028174113146960736,0.026813732460141182,0.002920332568431035,0.0262477807700634,0.0382760101929307,0.15946971017867326,0.12490685563534498,25,0.7057001829147339
23,cmc,hydra,1473,9,972,512,0.04114152122288942,0.04013014305382967,0.0023430044983683714,0.03890442010015249,0.047708552330732346,0.18753952074795963,0.14939961209893227,25,0.6886854529380798
23,cmc,looped_transformer_6physical_core4x2,1473,9,972,512,0.03250481441617012,0.0318252881988883,0.0021988806799481766,0.03088984452188015,0.04218322318047285,0.1613692656904459,0.1346367197111249,25,0.7090502500534057
23,cmc,tabpfn,1473,9,972,512,0.03763904493302107,0.037736126221716404,0.0004333260274972427,0.03655510861426592,0.03836778365075588,0.17934806372970344,0.1457063928246498,25,0.7114110112190246
29,credit-approval,hybrid_8l,653,15,972,326,0.014920993335545063,0.014469084329903126,0.0011227879742118558,0.014130473136901855,0.017842063680291176,0.12904345959424973,0.12221257109194994,25,0.9304480075836181
29,credit-approval,hydra,653,15,972,326,0.0207024934515357,0.020075134932994843,0.0020078764758364805,0.019682821817696095,0.029300814494490623,0.13397914435714484,0.12443861924111843,25,0.9309573650360108
29,credit-approval,looped_transformer_6physical_core4x2,653,15,972,326,0.017972638569772242,0.017282504588365555,0.002271553146959996,0.017011401243507862,0.02779113408178091,0.12996305860579013,0.1199257094413042,25,0.9345357179641723
29,credit-approval,tabpfn,653,15,972,326,0.021030491814017296,0.02044147066771984,0.0019504447875644158,0.020212315022945404,0.029734176583588123,0.13188136503100395,0.12645748257637024,25,0.9354403972625732
31,credit-g,hybrid_8l,1000,20,972,500,0.020576177015900612,0.019573845900595188,0.002181683088128065,0.01928871590644121,0.026527720503509045,0.1659854479879141,0.1495212521404028,25,0.7892918944358825
31,credit-g,hydra,1000,20,972,500,0.02905598860234022,0.027857971377670765,0.001969977864133683,0.027589252218604088,0.033806552179157734,0.17645421583205462,0.15653413906693459,25,0.7807586312294006
31,credit-g,looped_transformer_6physical_core4x2,1000,20,972,500,0.02396981656551361,0.023611164651811123,0.001096990489213344,0.02334365900605917,0.02857975848019123,0.17368934445083142,0.1534916441887617,25,0.7866158604621887
31,credit-g,tabpfn,1000,20,972,500,0.02858897056430578,0.027933403849601746,0.002706927630225734,0.027709349989891052,0.0411378713324666,0.17296373136341572,0.15202911291271448,25,0.7896058559417725
37,diabetes,hybrid_8l,768,8,972,384,0.017043790221214293,0.015538659878075123,0.0029218312339628506,0.01503530703485012,0.026125838980078697,0.13142118342220782,0.10367319546639919,25,0.8281865119934082
37,diabetes,hydra,768,8,972,384,0.024717839136719703,0.0226192157715559,0.004890850926410421,0.02186670061200857,0.03871182631701231,0.1489824828878045,0.11760387942194939,25,0.8420963168144227
37,diabetes,looped_transformer_6physical_core4x2,768,8,972,384,0.019961773082613946,0.018380113877356052,0.0030243113882618237,0.01809098571538925,0.028765319846570492,0.14003446482121945,0.10414793435484171,25,0.8427225947380066
37,diabetes,tabpfn,768,8,972,384,0.022655657567083834,0.021728016436100006,0.002102389543617692,0.02142909076064825,0.029470586217939854,0.15951739065349102,0.11349931173026562,25,0.8412927031517029
50,tic-tac-toe,hybrid_8l,958,9,972,479,0.019070858918130398,0.018370485864579678,0.001857745780107677,0.018132985569536686,0.026638885959982872,0.09963231299072504,0.10359534807503223,25,0.970254409313202
50,tic-tac-toe,hydra,958,9,972,479,0.02668760847300291,0.02645330037921667,0.0007960484385844696,0.026173599995672703,0.02909884136170149,0.10962816618382931,0.11144599225372076,25,0.7990819334983825
50,tic-tac-toe,looped_transformer_6physical_core4x2,958,9,972,479,0.02229516752064228,0.022186486050486565,0.00023676473436833192,0.022073430940508842,0.022909625433385372,0.09934479046612978,0.09896163921803236,25,0.973424768447876
50,tic-tac-toe,tabpfn,958,9,972,479,0.026715954840183256,0.026426504366099834,0.0008334161145534906,0.026237180456519127,0.02963589783757925,0.1154774485528469,0.10914017353206873,25,0.9751107215881347
54,vehicle,hybrid_8l,846,18,972,423,0.029490382671356202,0.029429491609334946,0.0002651347452009568,0.029196721501648426,0.03035696968436241,0.1818771920353174,0.16455088183283806,25,0.9494154214859009
54,vehicle,hydra,846,18,972,423,0.04518229104578495,0.04460181575268507,0.0015844986531300428,0.04440754745155573,0.05115437787026167,0.20769544187933206,0.18889515940099955,25,0.9267758965492249
54,vehicle,looped_transformer_6physical_core4x2,846,18,972,423,0.034699428267776965,0.03459895681589842,0.0005724595912894018,0.03435657545924187,0.03735374379903078,0.19046623639762403,0.17464847024530172,25,0.9556835651397705
54,vehicle,tabpfn,846,18,972,423,0.04105839941650629,0.040974644012749195,0.00038926892336243595,0.04074356611818075,0.04265988618135452,0.2094143083691597,0.18827495630830526,25,0.9572097301483155
188,eucalyptus,hybrid_8l,641,19,972,320,0.02971289314329624,0.028032095171511173,0.004461267875276436,0.02713160030543804,0.04716434981673956,0.2617779463529587,0.19438732601702213,25,0.911457109451294
188,eucalyptus,hydra,641,19,972,320,0.04318240836262703,0.04244528990238905,0.0018262105171270601,0.04128459095954895,0.04876051377505064,0.24377723772078752,0.20860907807946205,25,0.8992575287818909
188,eucalyptus,looped_transformer_6physical_core4x2,641,19,972,320,0.032742279917001724,0.032339815981686115,0.0018321254256953856,0.03129380475729704,0.04056414682418108,0.24706838913261892,0.20858149696141481,25,0.9142636895179749
188,eucalyptus,tabpfn,641,19,972,320,0.039466232024133206,0.03840939421206713,0.0036556697126546925,0.0373133784160018,0.055301615968346596,0.2782157111540437,0.22021228913217783,25,0.9147530913352966
458,analcatdata_authorship,hybrid_8l,841,70,972,420,0.030564078241586686,0.029301049187779427,0.0032762094896740994,0.02904332149773836,0.042991905473172665,0.48315276313573124,0.39321360643953085,25,0.9999969720840454
458,analcatdata_authorship,hydra,841,70,972,420,0.04506786718964577,0.044008501805365086,0.0023357256632743706,0.043841807171702385,0.05368090607225895,0.48903297904878856,0.4386789370328188,25,0.9999135136604309
458,analcatdata_authorship,looped_transformer_6physical_core4x2,841,70,972,420,0.03512880478054285,0.0345989353954792,0.0012310888208604946,0.034496172331273556,0.039567108266055584,0.4535721612349153,0.416260969825089,25,0.9999984860420227
458,analcatdata_authorship,tabpfn,841,70,972,420,0.04137094907462597,0.04093850590288639,0.0010419245117876013,0.04073909763246775,0.04489838797599077,0.4621162437275052,0.40074971225112677,25,0.9999956727027893
469,analcatdata_dmft,hybrid_8l,797,4,972,398,0.031119538843631743,0.029451304115355015,0.003985372261944653,0.02857653610408306,0.04640343878418207,0.1617691181227565,0.13805855810642242,25,0.5877482533454895
469,analcatdata_dmft,hydra,797,4,972,398,0.046731042936444284,0.043968127109110355,0.0038907701104735175,0.04351859539747238,0.05530578549951315,0.19123215295374393,0.17449226044118404,25,0.5662097096443176
469,analcatdata_dmft,looped_transformer_6physical_core4x2,797,4,972,398,0.034972879737615585,0.03359433263540268,0.002247583228655383,0.03330473508685827,0.04022995475679636,0.16424291893839837,0.13559753634035587,25,0.5848645806312561
469,analcatdata_dmft,tabpfn,797,4,972,398,0.04216662116348743,0.03983352240175009,0.003646966859661589,0.039445457980036736,0.05064076650887728,0.20132422383874654,0.1553326528519392,25,0.5754562497138977
1049,pc4,hybrid_8l,1458,37,972,512,0.020678576417267322,0.019699941389262676,0.0019984222032993935,0.019412637688219547,0.02600732073187828,0.3344734779372811,0.3305088924244046,25,0.9296820521354675
1049,pc4,hydra,1458,37,972,512,0.028767635151743888,0.028025714680552483,0.001456419413843641,0.02785969991236925,0.03264475520700216,0.3574199837073684,0.3135592807084322,25,0.9139247059822082
