model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
hybrid_8l,2048,100,1024,7,ok,,0.6957809831947088,0.01043081283569336
hydra,2048,100,1024,7,ok,,0.7006828819867224,0.03539919853210449
hybrid_8l,2048,100,1024,8,ok,,0.4780106609687209,0.011924505233764648
hybrid_12l,2048,100,1024,8,ok,,0.5010181369725615,0.01667952537536621
tabpfn,2048,100,1024,8,ok,,0.8662089651916176,0.009373664855957031
hydra,2048,100,1024,8,ok,,0.928113907109946,0.03213167190551758
hybrid_12l,2048,100,1024,9,ok,,0.4904256039299071,0.015061378479003906
tabpfn,2048,100,1024,9,ok,,0.49918954097665846,0.011165142059326172
hydra,2048,100,1024,9,ok,,0.6859340409282595,0.032721519470214844
hybrid_8l,2048,100,1024,9,ok,,0.47092334018088877,0.010488748550415039
tabpfn,2048,100,1024,10,ok,,0.49113511806353927,0.010535240173339844
hybrid_12l,2048,100,1024,10,ok,,0.4966940109152347,0.01615619659423828
hydra,2048,100,1024,10,ok,,0.7013644590042531,0.03252053260803223
hybrid_8l,2048,100,1024,10,ok,,0.4739116099663079,0.010588884353637695
tabpfn,4096,100,2048,1,ok,,0.7497398650739342,0.00950932502746582
hydra,4096,100,2048,1,ok,,1.0885199350304902,0.032868146896362305
hybrid_8l,4096,100,2048,1,ok,,0.6942145288921893,0.010788440704345703
hybrid_12l,4096,100,2048,1,ok,,1.1206141468137503,0.017901182174682617
hydra,4096,100,2048,2,ok,,1.4757526838220656,0.0366668701171875
hybrid_12l,4096,100,2048,2,ok,,1.1141954630147666,0.015343666076660156
tabpfn,4096,100,2048,2,ok,,1.1237172139808536,0.009337425231933594
hybrid_8l,4096,100,2048,2,ok,,1.0759104460012168,0.010308504104614258
tabpfn,4096,100,2048,3,ok,,1.1194203898776323,0.009356498718261719
hybrid_12l,4096,100,2048,3,ok,,0.7263731418643147,0.014978647232055664
hydra,4096,100,2048,3,ok,,1.0777033511549234,0.03255796432495117
hybrid_8l,4096,100,2048,3,ok,,0.6850273150485009,0.010332584381103516
tabpfn,4096,100,2048,4,ok,,0.73906314605847,0.009357213973999023
hydra,4096,100,2048,4,ok,,1.076433460926637,0.03293275833129883
hybrid_12l,4096,100,2048,4,ok,,1.0995409770403057,0.015582084655761719
hybrid_8l,4096,100,2048,4,ok,,1.0968726288992912,0.010265588760375977
hybrid_8l,4096,100,2048,5,ok,,0.7363137039355934,0.010596990585327148
hybrid_12l,4096,100,2048,5,ok,,1.098693588981405,0.01449894905090332
hydra,4096,100,2048,5,ok,,1.2247006450779736,0.03250741958618164
tabpfn,4096,100,2048,5,ok,,0.7406366840004921,0.009423255920410156
hydra,4096,100,2048,6,ok,,1.0814603499602526,0.0326690673828125
hybrid_12l,4096,100,2048,6,ok,,0.7249442781321704,0.01468968391418457
hybrid_8l,4096,100,2048,6,ok,,0.7196651441045105,0.010190486907958984
tabpfn,4096,100,2048,6,ok,,0.7436623349785805,0.009274482727050781
hydra,4096,100,2048,7,ok,,1.0815622310619801,0.03212761878967285
hybrid_8l,4096,100,2048,7,ok,,0.6903366381302476,0.01022195816040039
tabpfn,4096,100,2048,7,ok,,0.742329518077895,0.009435653686523438
hybrid_12l,4096,100,2048,7,ok,,0.7458551379386336,0.014694929122924805
tabpfn,4096,100,2048,8,ok,,0.7425550639163703,0.009269237518310547
hydra,4096,100,2048,8,ok,,1.081428705016151,0.03244924545288086
hybrid_8l,4096,100,2048,8,ok,,0.6925320769660175,0.010342597961425781
hybrid_12l,4096,100,2048,8,ok,,0.7266426410060376,0.01458120346069336
