model,table_size,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds
hydra,16384,100,8192,9,ok,,3.4658873840235174,0.03205275535583496
tabpfn,16384,100,8192,10,ok,,2.85111869010143,0.009811639785766602
hybrid_8l,16384,100,8192,10,ok,,2.1337679410353303,0.011911630630493164
hybrid_12l,16384,100,8192,10,ok,,2.381228756159544,0.016199588775634766
hydra,16384,100,8192,10,ok,,3.510597218060866,0.03361177444458008
hydra,32768,100,16384,1,ok,,7.2898020800203085,0.03379511833190918
tabpfn,32768,100,16384,1,ok,,7.229796156054363,0.01011514663696289
hybrid_12l,32768,100,16384,1,ok,,5.53810129291378,0.016308307647705078
hybrid_8l,32768,100,16384,1,ok,,4.719701702939346,0.011483192443847656
hybrid_12l,32768,100,16384,2,ok,,5.559091564966366,0.01568770408630371
hydra,32768,100,16384,2,ok,,7.270016345893964,0.034175872802734375
hybrid_8l,32768,100,16384,2,ok,,4.711368612013757,0.010927200317382812
tabpfn,32768,100,16384,2,ok,,7.248780969064683,0.00994873046875
tabpfn,32768,100,16384,3,ok,,7.243784294929355,0.010035276412963867
hydra,32768,100,16384,3,ok,,7.287697863066569,0.03438615798950195
hybrid_8l,32768,100,16384,3,ok,,4.776633569970727,0.011116743087768555
hybrid_12l,32768,100,16384,3,ok,,5.580536175984889,0.016162872314453125
hydra,32768,100,16384,4,ok,,7.3509538429789245,0.035591840744018555
tabpfn,32768,100,16384,4,ok,,7.250859308987856,0.010245323181152344
hybrid_12l,32768,100,16384,4,ok,,5.562809095950797,0.015219688415527344
hybrid_8l,32768,100,16384,4,ok,,4.698361129965633,0.010752439498901367
tabpfn,32768,100,16384,5,ok,,7.213685990078375,0.010316610336303711
hybrid_12l,32768,100,16384,5,ok,,5.532872432144359,0.015131473541259766
hydra,32768,100,16384,5,ok,,7.27215288602747,0.033304452896118164
hybrid_8l,32768,100,16384,5,ok,,4.718466632068157,0.01054072380065918
hybrid_8l,32768,100,16384,6,ok,,4.703081501880661,0.011551618576049805
hydra,32768,100,16384,6,ok,,7.258254952030256,0.03289389610290527
tabpfn,32768,100,16384,6,ok,,7.210695610148832,0.010015487670898438
hybrid_12l,32768,100,16384,6,ok,,5.509083713870496,0.01502847671508789
tabpfn,32768,100,16384,7,ok,,7.221544628962874,0.010332345962524414
hydra,32768,100,16384,7,ok,,7.230468104826286,0.03320169448852539
hybrid_8l,32768,100,16384,7,ok,,4.678436883958057,0.010688066482543945
hybrid_12l,32768,100,16384,7,ok,,5.5688238479197025,0.01536870002746582
tabpfn,32768,100,16384,8,ok,,7.2034504970069975,0.01039433479309082
hydra,32768,100,16384,8,ok,,7.25690149795264,0.03288602828979492
hybrid_8l,32768,100,16384,8,ok,,4.722554719075561,0.010335206985473633
hybrid_12l,32768,100,16384,8,ok,,6.142156418878585,0.015392065048217773
tabpfn,32768,100,16384,9,ok,,7.221646724035963,0.010330915451049805
hydra,32768,100,16384,9,ok,,7.263598609017208,0.03347635269165039
hybrid_12l,32768,100,16384,9,ok,,5.519990030908957,0.015346288681030273
hybrid_8l,32768,100,16384,9,ok,,4.695131257874891,0.010711431503295898
hybrid_12l,32768,100,16384,10,ok,,5.506643605185673,0.015358686447143555
tabpfn,32768,100,16384,10,ok,,7.210465110838413,0.010356903076171875
hydra,32768,100,16384,10,ok,,7.2220309160184115,0.033594608306884766
hybrid_8l,32768,100,16384,10,ok,,4.686069820076227,0.010671377182006836
