did,dataset_name,model,num_samples,num_features,eval_position,mean,median,std,min,max,count,mean_metric
469,analcatdata_dmft,hydra,797,4,972,0.0789569215849042,0.07837149826809764,0.0021839125434512012,0.0772325498983264,0.08456438966095448,10,0.565801453590393
469,analcatdata_dmft,tabpfn,797,4,972,0.07485319366678596,0.07439946802332997,0.0022108122735556446,0.07254029996693134,0.0805671475827694,10,0.5725318491458893
1049,pc4,hybrid_8l,1458,37,972,0.16932344557717444,0.1606334252282977,0.024985519567786697,0.15692920796573162,0.23975009378045797,10,0.9295816540718078
1049,pc4,hydra,1458,37,972,0.17760904487222434,0.17173600802198052,0.014070630023300792,0.168409064412117,0.2131550321355462,10,0.9140735030174255
1049,pc4,tabpfn,1458,37,972,0.17326904023066164,0.16977022867649794,0.009532352952871227,0.1656678719446063,0.19615076947957277,10,0.9312623262405395
1050,pc3,hybrid_8l,1563,37,972,0.16202392838895321,0.16097870375961065,0.005476068343553931,0.1568892216309905,0.17602068465203047,10,0.826344233751297
1050,pc3,hydra,1563,37,972,0.1724518770352006,0.16982613503932953,0.009737467889700821,0.1652767714112997,0.1992304129526019,10,0.8110303997993469
1050,pc3,tabpfn,1563,37,972,0.17160468325018882,0.16911065485328436,0.007905341019942993,0.16703099478036165,0.19341539684683084,10,0.8258543193340302
1063,kc2,hybrid_8l,522,21,972,0.09249050682410598,0.08662515319883823,0.017831915892732295,0.08318843320012093,0.14293081872165203,10,0.8064503371715546
1063,kc2,hydra,522,21,972,0.09278048407286406,0.09296819986775517,0.001941129057183168,0.08954252023249865,0.0961589040234685,10,0.8451774895191193
1063,kc2,tabpfn,522,21,972,0.09654545430094004,0.09294581692665815,0.012904421758226427,0.08813891094177961,0.13276694435626268,10,0.8499742090702057
1068,pc1,hybrid_8l,1109,21,972,0.10302799604833127,0.10330535238608718,0.0019845331536776476,0.10022806189954281,0.10570794437080622,10,0.8806541085243225
1068,pc1,hydra,1109,21,972,0.11532110506668687,0.11167155113071203,0.009468448326207697,0.10958783514797688,0.13950711209326982,10,0.8217104792594909
1068,pc1,tabpfn,1109,21,972,0.1152489634230733,0.1128076589666307,0.009421545642974828,0.10973991174250841,0.14147222600877285,10,0.8808343172073364
1462,banknote-authentication,hybrid_8l,1372,4,972,0.04117802819237113,0.04052050272002816,0.0027959714920917063,0.03946262877434492,0.0485812034457922,10,1.0
1462,banknote-authentication,hydra,1372,4,972,0.04849238619208336,0.04813286289572716,0.0016183340312650202,0.04682025592774153,0.05185836087912321,10,1.0
1462,banknote-authentication,tabpfn,1372,4,972,0.0489195667207241,0.04804928973317146,0.002039735068654804,0.047111659310758114,0.05322771426290274,10,1.0
1464,blood-transfusion-service-center,hybrid_8l,748,4,972,0.03540336554870009,0.03543377108871937,0.0008443060403571102,0.03429919760674238,0.037085254676640034,10,0.7490965723991394
1464,blood-transfusion-service-center,hydra,748,4,972,0.04213683307170868,0.04140448663383722,0.0030821011377952486,0.03980033751577139,0.05060257110744715,10,0.7636852145195008
1464,blood-transfusion-service-center,tabpfn,748,4,972,0.04107230147346854,0.04139122646301985,0.000884016314210789,0.0398459741845727,0.042395555414259434,10,0.7599154770374298
1480,ilpd,hybrid_8l,583,10,972,0.05126285487785935,0.051335986237972975,0.0016804017653739684,0.04831999819725752,0.05420041736215353,10,0.7293499350547791
1480,ilpd,hydra,583,10,972,0.06004961235448718,0.057593736331909895,0.00862727203473766,0.05470586474984884,0.08439029008150101,10,0.7402236700057984
1480,ilpd,tabpfn,583,10,972,0.058565668482333424,0.05573231028392911,0.008986721125260663,0.05428937543183565,0.08389520086348057,10,0.7407248616218567
1494,qsar-biodeg,hybrid_8l,1055,41,972,0.17554420800879597,0.1747908047400415,0.0028963234577604946,0.1729946732521057,0.18133401963859797,10,0.9313946306705475
1494,qsar-biodeg,hydra,1055,41,972,0.18723249044269324,0.18581517972052097,0.005275896684224099,0.18176816310733557,0.19889966677874327,10,0.9132014811038971
1494,qsar-biodeg,tabpfn,1055,41,972,0.18583832653239368,0.18472817540168762,0.0029273133722351906,0.18155146203935146,0.19088133703917265,10,0.9343259155750274
1510,wdbc,hybrid_8l,569,30,972,0.12264198809862137,0.12233360530808568,0.0013883800199982993,0.12017876654863358,0.12453094217926264,10,0.9957525968551636
1510,wdbc,hydra,569,30,972,0.12789573827758433,0.1276536132209003,0.0012682518908391034,0.12580666970461607,0.12971928156912327,10,0.9953287482261658
1510,wdbc,tabpfn,569,30,972,0.12742484156042339,0.12756523536518216,0.001210568173006423,0.12450693733990192,0.12880311533808708,10,0.9958126008510589
6332,cylinder-bands,hybrid_8l,277,37,972,0.11393406754359603,0.11417097644880414,0.003557753770905904,0.10851302649825811,0.12010093033313751,10,0.7907601475715638
6332,cylinder-bands,hydra,277,37,972,0.12138043828308583,0.12193048186600208,0.003168240430820516,0.11600847728550434,0.12707681581377983,10,0.7484850823879242
6332,cylinder-bands,tabpfn,277,37,972,0.11499197660014034,0.11539002088829875,0.003368293670626844,0.10974537208676338,0.12105727102607489,10,0.7812778890132904
23381,dresses-sales,hybrid_8l,99,12,972,0.04947752645239234,0.04933034675195813,0.0010479787474493524,0.04808835964649916,0.05088663939386606,10,0.4849159449338913
23381,dresses-sales,hydra,99,12,972,0.05774924857541919,0.057666925713419914,0.0011433819359417637,0.05580261256545782,0.05895119812339544,10,0.47501378059387206
23381,dresses-sales,tabpfn,99,12,972,0.048957877047359946,0.04923012247309089,0.0009371891884606758,0.04738110862672329,0.04995053540915251,10,0.4681564927101135
40966,MiceProtein,hybrid_8l,552,77,972,0.3012108081020415,0.29523783549666405,0.024928570863042357,0.2833907874301076,0.3704092763364315,10,1.0
40966,MiceProtein,hydra,552,77,972,0.32328241942450403,0.3152691130526364,0.022361102933094387,0.29659860767424107,0.361581152305007,10,0.9977101147174835
40966,MiceProtein,tabpfn,552,77,972,0.32599707720801235,0.31975119933485985,0.027129583044831256,0.3021596930921078,0.37581120897084475,10,0.9999886393547058
40975,car,hybrid_8l,1728,6,972,0.07121907910332084,0.06508969143033028,0.017150581984797814,0.064020742662251,0.11940154526382685,10,0.983252489566803
40975,car,hydra,1728,6,972,0.08467936413362623,0.08165880478918552,0.00690524498022128,0.07921255100518465,0.10148659721016884,10,0.9447067558765412
40975,car,tabpfn,1728,6,972,0.08327081492170692,0.0771293449215591,0.016921702249987933,0.07609447464346886,0.1306679481640458,10,0.9863498747348786
40982,steel-plates-fault,hybrid_8l,1941,27,972,0.1794860356487334,0.15923650842159986,0.03578292578874116,0.15213241148740053,0.23336972668766975,10,0.9515508770942688
40982,steel-plates-fault,hydra,1941,27,972,0.20576338935643435,0.18239997467026114,0.0381563012967068,0.17103547975420952,0.26279178354889154,10,0.9201593041419983
40982,steel-plates-fault,tabpfn,1941,27,972,0.17874899823218585,0.1757119745016098,0.012474277587476726,0.1657723793759942,0.2093935962766409,10,0.9544834911823272
40994,climate-model-simulation-crashes,hybrid_8l,540,18,972,0.0879476829431951,0.07834952604025602,0.019516539008324105,0.07505951449275017,0.13360810838639736,10,0.9417842328548431
40994,climate-model-simulation-crashes,hydra,540,18,972,0.08812856525182725,0.08252032194286585,0.01196942688728744,0.08053819183260202,0.11251228395849466,10,0.9340107023715973
40994,climate-model-simulation-crashes,tabpfn,540,18,972,0.090516278706491,0.08376367250457406,0.014463422217274592,0.0813723923638463,0.1182199977338314,10,0.9434499561786651
