did,dataset_name,model,num_samples,num_features,eval_position,run,status,error,synchronized_elapsed_seconds,internal_unsynchronized_seconds,mean_metric
18,mfeat-morphological,tabpfn,2000,6,972,6,ok,,0.10947434976696968,0.046766724437475204,0.9602025151252747
18,mfeat-morphological,hydra,2000,6,972,6,ok,,0.13049596175551414,0.053590753115713596,0.953650712966919
18,mfeat-morphological,tabpfn,2000,6,972,7,ok,,0.12436875514686108,0.04690761212259531,0.9644414782524109
18,mfeat-morphological,hybrid_8l,2000,6,972,7,ok,,0.11018475517630577,0.034594916738569736,0.9649432301521301
18,mfeat-morphological,hydra,2000,6,972,7,ok,,0.11366831418126822,0.05345492623746395,0.9582725167274475
18,mfeat-morphological,tabpfn,2000,6,972,8,ok,,0.10739721357822418,0.046786422841250896,0.9674108028411865
18,mfeat-morphological,hybrid_8l,2000,6,972,8,ok,,0.09401417151093483,0.03457847610116005,0.9673953652381897
18,mfeat-morphological,hydra,2000,6,972,8,ok,,0.11425159871578217,0.053427863866090775,0.9599500894546509
18,mfeat-morphological,hybrid_8l,2000,6,972,9,ok,,0.0948769859969616,0.0345771424472332,0.9679333567619324
18,mfeat-morphological,tabpfn,2000,6,972,9,ok,,0.10810587648302317,0.046763588674366474,0.9684802293777466
18,mfeat-morphological,hydra,2000,6,972,9,ok,,0.1186832245439291,0.05355038587003946,0.9597270488739014
18,mfeat-morphological,tabpfn,2000,6,972,10,ok,,0.10815621167421341,0.04686352889984846,0.9631131291389465
18,mfeat-morphological,hydra,2000,6,972,10,ok,,0.11404498759657145,0.05347056593745947,0.9562376141548157
18,mfeat-morphological,hybrid_8l,2000,6,972,10,ok,,0.09444655012339354,0.034561604261398315,0.9617202877998352
22,mfeat-zernike,tabpfn,2000,47,972,1,ok,,0.25404082611203194,0.04689732287079096,0.9807880520820618
22,mfeat-zernike,hybrid_8l,2000,47,972,1,ok,,0.23990541882812977,0.034548498690128326,0.9785817265510559
22,mfeat-zernike,hydra,2000,47,972,1,ok,,0.27233092579990625,0.05355542525649071,0.959888756275177
22,mfeat-zernike,hybrid_8l,2000,47,972,2,ok,,0.24098320119082928,0.034577904269099236,0.9822232723236084
22,mfeat-zernike,hydra,2000,47,972,2,ok,,0.2599696386605501,0.05344223137944937,0.9669663310050964
22,mfeat-zernike,tabpfn,2000,47,972,2,ok,,0.28175979759544134,0.046933019533753395,0.9839026927947998
22,mfeat-zernike,hydra,2000,47,972,3,ok,,0.2832551905885339,0.05354329198598862,0.9645730257034302
22,mfeat-zernike,tabpfn,2000,47,972,3,ok,,0.31481609027832747,0.05613060388714075,0.9811184406280518
22,mfeat-zernike,hybrid_8l,2000,47,972,3,ok,,0.25045929197221994,0.041471824049949646,0.9789596796035767
22,mfeat-zernike,tabpfn,2000,47,972,4,ok,,0.28604152891784906,0.056632054038345814,0.9846197962760925
22,mfeat-zernike,hydra,2000,47,972,4,ok,,0.2761645680293441,0.06381957046687603,0.9780209064483643
22,mfeat-zernike,hybrid_8l,2000,47,972,4,ok,,0.2546657510101795,0.041281755082309246,0.9829148054122925
22,mfeat-zernike,tabpfn,2000,47,972,5,ok,,0.2707275580614805,0.056281380355358124,0.9824225306510925
22,mfeat-zernike,hybrid_8l,2000,47,972,5,ok,,0.2540120417252183,0.0413564657792449,0.9810996651649475
22,mfeat-zernike,hydra,2000,47,972,5,ok,,0.2757869428023696,0.06382232531905174,0.9646866321563721
22,mfeat-zernike,tabpfn,2000,47,972,6,ok,,0.28016751166433096,0.05607180297374725,0.9833492040634155
22,mfeat-zernike,hydra,2000,47,972,6,ok,,0.27556901052594185,0.06400325894355774,0.9722782969474792
22,mfeat-zernike,hybrid_8l,2000,47,972,6,ok,,0.2509915605187416,0.04131164122372866,0.9814684987068176
22,mfeat-zernike,hydra,2000,47,972,7,ok,,0.2690032320097089,0.06408251728862524,0.9689441323280334
22,mfeat-zernike,tabpfn,2000,47,972,7,ok,,0.2619213368743658,0.056299845688045025,0.9804927706718445
22,mfeat-zernike,hybrid_8l,2000,47,972,7,ok,,0.24715154618024826,0.04132354259490967,0.9792435765266418
22,mfeat-zernike,tabpfn,2000,47,972,8,ok,,0.2689530262723565,0.05601045675575733,0.9834871888160706
22,mfeat-zernike,hybrid_8l,2000,47,972,8,ok,,0.24975476693361998,0.04132163990288973,0.9813162684440613
22,mfeat-zernike,hydra,2000,47,972,8,ok,,0.2945202626287937,0.06405161041766405,0.9673919677734375
22,mfeat-zernike,hybrid_8l,2000,47,972,9,ok,,0.253234488889575,0.04130578972399235,0.9807518124580383
22,mfeat-zernike,hydra,2000,47,972,9,ok,,0.2753780372440815,0.06382695399224758,0.965776801109314
22,mfeat-zernike,tabpfn,2000,47,972,9,ok,,0.2758399425074458,0.056177482940256596,0.9818105101585388
22,mfeat-zernike,tabpfn,2000,47,972,10,ok,,0.2702844077721238,0.056055761873722076,0.980429470539093
22,mfeat-zernike,hybrid_8l,2000,47,972,10,ok,,0.2511573750525713,0.04131461586803198,0.9800483584403992
22,mfeat-zernike,hydra,2000,47,972,10,ok,,0.27666326332837343,0.06383082084357738,0.9712713360786438
23,cmc,tabpfn,1473,9,972,1,ok,,0.0992070073261857,0.03746658656746149,0.701123058795929
23,cmc,hybrid_8l,1473,9,972,1,ok,,0.08395459409803152,0.026401305571198463,0.6954519152641296
23,cmc,hydra,1473,9,972,1,ok,,0.08547459449619055,0.039542640559375286,0.6866907477378845
23,cmc,hydra,1473,9,972,2,ok,,0.08389431051909924,0.03957218583673239,0.6782618761062622
23,cmc,tabpfn,1473,9,972,2,ok,,0.08140580449253321,0.03697140887379646,0.7031378149986267
23,cmc,hybrid_8l,1473,9,972,2,ok,,0.06555742211639881,0.021966133266687393,0.7020114660263062
23,cmc,hydra,1473,9,972,3,ok,,0.07747501879930496,0.033356801606714725,0.6708436012268066
23,cmc,tabpfn,1473,9,972,3,ok,,0.07481508981436491,0.03090799320489168,0.7065351009368896
23,cmc,hybrid_8l,1473,9,972,3,ok,,0.06480148993432522,0.021955803968012333,0.6997268795967102
23,cmc,hybrid_8l,1473,9,972,4,ok,,0.06313375197350979,0.02197791449725628,0.7113727927207947
23,cmc,hydra,1473,9,972,4,ok,,0.07525507360696793,0.033054779283702374,0.7040484547615051
23,cmc,tabpfn,1473,9,972,4,ok,,0.11845414992421865,0.03114933893084526,0.7171720266342163
23,cmc,tabpfn,1473,9,972,5,ok,,0.07766068167984486,0.031008192338049412,0.7290870547294617
23,cmc,hybrid_8l,1473,9,972,5,ok,,0.07026839721947908,0.021999134682118893,0.7199289202690125
23,cmc,hydra,1473,9,972,5,ok,,0.07802588306367397,0.033090257085859776,0.7035768628120422
23,cmc,hybrid_8l,1473,9,972,6,ok,,0.06743272487074137,0.02196622360497713,0.6813735365867615
23,cmc,hydra,1473,9,972,6,ok,,0.0769167123362422,0.033067052252590656,0.6648377180099487
23,cmc,tabpfn,1473,9,972,6,ok,,0.07475287187844515,0.031020324677228928,0.6867074966430664
23,cmc,tabpfn,1473,9,972,7,ok,,0.07515736855566502,0.03085900004953146,0.7052667737007141
23,cmc,hydra,1473,9,972,7,ok,,0.08584078680723906,0.03311975300312042,0.6849597692489624
23,cmc,hybrid_8l,1473,9,972,7,ok,,0.06598428077995777,0.02196325734257698,0.687851071357727
23,cmc,hybrid_8l,1473,9,972,8,ok,,0.06479947734624147,0.022047577425837517,0.7174183130264282
23,cmc,hydra,1473,9,972,8,ok,,0.07659974042326212,0.03307388536632061,0.7130933403968811
23,cmc,tabpfn,1473,9,972,8,ok,,0.12796039879322052,0.03120226040482521,0.710403323173523
23,cmc,hydra,1473,9,972,9,ok,,0.07710612006485462,0.03306583967059851,0.6917566657066345
23,cmc,tabpfn,1473,9,972,9,ok,,0.07371544744819403,0.03085911925882101,0.7323039174079895
23,cmc,hybrid_8l,1473,9,972,9,ok,,0.0640065548941493,0.021953348070383072,0.7249045968055725
23,cmc,hybrid_8l,1473,9,972,10,ok,,0.06228140648454428,0.022096330299973488,0.7274576425552368
23,cmc,tabpfn,1473,9,972,10,ok,,0.07145509496331215,0.030815687030553818,0.7314443588256836
23,cmc,hydra,1473,9,972,10,ok,,0.07447986491024494,0.033041633665561676,0.7331073880195618
29,credit-approval,tabpfn,653,15,972,1,ok,,0.07618371304124594,0.016351355239748955,0.9488513469696045
29,credit-approval,hydra,653,15,972,1,ok,,0.0763788828626275,0.016589918173849583,0.9469241499900818
29,credit-approval,hybrid_8l,653,15,972,1,ok,,0.07089398242533207,0.01196069736033678,0.9405257701873779
29,credit-approval,hydra,653,15,972,2,ok,,0.09911064617335796,0.016787822358310223,0.9343891143798828
29,credit-approval,hybrid_8l,653,15,972,2,ok,,0.0713916951790452,0.011669737286865711,0.9307692050933838
29,credit-approval,tabpfn,653,15,972,2,ok,,0.0961871175095439,0.016949579119682312,0.939894437789917
29,credit-approval,hydra,653,15,972,3,ok,,0.07751632761210203,0.01658305525779724,0.9152971506118774
29,credit-approval,hybrid_8l,653,15,972,3,ok,,0.07434875704348087,0.011861471459269524,0.9202840924263
29,credit-approval,tabpfn,653,15,972,3,ok,,0.07327286899089813,0.016337250359356403,0.9222486615180969
29,credit-approval,tabpfn,653,15,972,4,ok,,0.07227367535233498,0.0163484001532197,0.9315978288650513
29,credit-approval,hybrid_8l,653,15,972,4,ok,,0.06680829171091318,0.011587992310523987,0.9256366491317749
29,credit-approval,hydra,653,15,972,4,ok,,0.07233088370412588,0.016659248620271683,0.927523136138916
29,credit-approval,hybrid_8l,653,15,972,5,ok,,0.06982745137065649,0.011493553407490253,0.9350243210792542
29,credit-approval,hydra,653,15,972,5,ok,,0.07422059308737516,0.016264240257441998,0.930614709854126
29,credit-approval,tabpfn,653,15,972,5,ok,,0.07342847250401974,0.016444843262434006,0.9346097111701965
29,credit-approval,tabpfn,653,15,972,6,ok,,0.07361320219933987,0.016363058239221573,0.9628522396087646
29,credit-approval,hybrid_8l,653,15,972,6,ok,,0.06818929873406887,0.011634300462901592,0.9439908266067505
29,credit-approval,hydra,653,15,972,6,ok,,0.07375486101955175,0.016200659796595573,0.9661874771118164
29,credit-approval,hybrid_8l,653,15,972,7,ok,,0.09958209842443466,0.01221876684576273,0.8939834833145142
29,credit-approval,hydra,653,15,972,7,ok,,0.07794027961790562,0.019545235671103,0.9059629440307617
29,credit-approval,tabpfn,653,15,972,7,ok,,0.07444985955953598,0.01637090276926756,0.9020208120346069
29,credit-approval,tabpfn,653,15,972,8,ok,,0.07431535422801971,0.01651006657630205,0.9201708436012268
29,credit-approval,hybrid_8l,653,15,972,8,ok,,0.07087174989283085,0.013709872029721737,0.9182856678962708
29,credit-approval,hydra,653,15,972,8,ok,,0.07777460757642984,0.019263423047959805,0.917323887348175
29,credit-approval,hydra,653,15,972,9,ok,,0.07628113776445389,0.01933939754962921,0.9142693877220154
29,credit-approval,hybrid_8l,653,15,972,9,ok,,0.07019614055752754,0.013738035224378109,0.9146122932434082
29,credit-approval,tabpfn,653,15,972,9,ok,,0.07716151513159275,0.01995895989239216,0.9226138591766357
29,credit-approval,hybrid_8l,653,15,972,10,ok,,0.0717231621965766,0.013696616515517235,0.9436518549919128
