did,split,hybrid_8l,tabpfn,hydra,best_model,best_score,margin_to_second
1063,5,0.7891690135002136,0.8173202872276306,0.8131652474403381,tabpfn,0.8173202872276306,0.0041550397872924805
1068,1,0.8977903723716736,0.8948478698730469,0.8416610956192017,hybrid_8l,0.8977903723716736,0.002942502498626709
1068,2,0.9227288365364075,0.9239242076873779,0.860058069229126,tabpfn,0.9239242076873779,0.001195371150970459
1068,3,0.8066643476486206,0.807631254196167,0.761094868183136,tabpfn,0.807631254196167,0.0009669065475463867
1068,4,0.8686176538467407,0.8523197770118713,0.8387342095375061,hybrid_8l,0.8686176538467407,0.016297876834869385
1068,5,0.8806673884391785,0.8794491291046143,0.8301377296447754,hybrid_8l,0.8806673884391785,0.001218259334564209
1462,1,1.0,1.0,1.0,hybrid_8l,1.0,0.0
1462,2,1.0,1.0,1.0,hybrid_8l,1.0,0.0
1462,3,1.0,1.0,1.0,hybrid_8l,1.0,0.0
1462,4,1.0,1.0,1.0,hybrid_8l,1.0,0.0
1462,5,1.0,1.0,1.0,hybrid_8l,1.0,0.0
1464,1,0.74922776222229,0.7736052870750427,0.7747589945793152,hydra,0.7747589945793152,0.001153707504272461
1464,2,0.7223004698753357,0.7269366383552551,0.746635377407074,hydra,0.746635377407074,0.019698739051818848
1464,3,0.7487483024597168,0.7632367610931396,0.7664104104042053,hydra,0.7664104104042053,0.003173649311065674
1464,4,0.7483040690422058,0.7599059343338013,0.7614477276802063,hydra,0.7614477276802063,0.0015417933464050293
1464,5,0.7573783993721008,0.7583960890769958,0.7486261129379272,tabpfn,0.7583960890769958,0.0010176897048950195
1480,1,0.7249189019203186,0.7562558054924011,0.752085268497467,tabpfn,0.7562558054924011,0.004170536994934082
1480,2,0.7314643263816833,0.7509267926216125,0.7403267025947571,tabpfn,0.7509267926216125,0.010600090026855469
1480,3,0.7616562843322754,0.763357937335968,0.7499149441719055,tabpfn,0.763357937335968,0.001701653003692627
1480,4,0.7567164301872253,0.7486456632614136,0.7448866963386536,hybrid_8l,0.7567164301872253,0.008070766925811768
1480,5,0.6715181469917297,0.6753246784210205,0.678851306438446,hydra,0.678851306438446,0.003526628017425537
1494,1,0.9260568022727966,0.9295215606689453,0.9143916964530945,tabpfn,0.9295215606689453,0.0034647583961486816
1494,2,0.945400595664978,0.9478592872619629,0.9245103597640991,tabpfn,0.9478592872619629,0.0024586915969848633
1494,3,0.9163107872009277,0.9184373617172241,0.8984582424163818,tabpfn,0.9184373617172241,0.0021265745162963867
1494,4,0.9329100847244263,0.9358945488929749,0.9151758551597595,tabpfn,0.9358945488929749,0.002984464168548584
1494,5,0.9342920780181885,0.9379134774208069,0.9061564207077026,tabpfn,0.9379134774208069,0.003621399402618408
1510,1,0.9988022446632385,0.9990626573562622,0.9986460208892822,tabpfn,0.9990626573562622,0.00026041269302368164
1510,2,0.9959381222724915,0.9970316886901855,0.9970316886901855,tabpfn,0.9970316886901855,0.0
1510,3,0.9904259443283081,0.990943431854248,0.9897013902664185,tabpfn,0.990943431854248,0.0005174875259399414
1510,4,0.9984309673309326,0.9980522394180298,0.9983227849006653,hybrid_8l,0.9984309673309326,0.00010818243026733398
1510,5,0.9978499412536621,0.9975742697715759,0.9981256127357483,hydra,0.9981256127357483,0.00027567148208618164
6332,1,0.8044548034667969,0.8005697727203369,0.7782957553863525,hybrid_8l,0.8044548034667969,0.003885030746459961
6332,2,0.761566698551178,0.7556915283203125,0.7148102521896362,hybrid_8l,0.761566698551178,0.0058751702308654785
6332,3,0.8167851567268372,0.8053199052810669,0.7839944958686829,hybrid_8l,0.8167851567268372,0.011465251445770264
6332,4,0.8077601194381714,0.7832892537117004,0.7566137313842773,hybrid_8l,0.8077601194381714,0.024470865726470947
6332,5,0.7706992030143738,0.7627081274986267,0.7289677858352661,hybrid_8l,0.7706992030143738,0.00799107551574707
23381,1,0.560606062412262,0.5858585834503174,0.5370370149612427,tabpfn,0.5858585834503174,0.02525252103805542
23381,2,0.40816327929496765,0.4166666567325592,0.442176878452301,hydra,0.442176878452301,0.02551022171974182
23381,3,0.6088435649871826,0.557823121547699,0.5425170063972473,hybrid_8l,0.6088435649871826,0.05102044343948364
23381,4,0.4421052634716034,0.4368421137332916,0.4578947424888611,hydra,0.4578947424888611,0.01578947901725769
23381,5,0.5185185074806213,0.5488215684890747,0.5286195278167725,tabpfn,0.5488215684890747,0.020202040672302246
