did,dataset_name,model,num_samples,num_features,configured_eval_position,real_eval_position,split_number,timing_repetition,status,error,synchronized_elapsed_seconds,synchronized_model_inference_seconds,mean_metric
11,balance-scale,hydra,625,4,972,312,2,9,ok,,0.04578552581369877,0.021966627798974514,0.9822571873664856
11,balance-scale,hybrid_8l,625,4,972,312,2,10,ok,,0.03772212844341993,0.014512795954942703,0.9926596283912659
11,balance-scale,tabpfn,625,4,972,312,2,10,ok,,0.044197036884725094,0.020150787197053432,0.996491014957428
11,balance-scale,hydra,625,4,972,312,2,10,ok,,0.04571845941245556,0.021799691952764988,0.9822571873664856
11,balance-scale,hydra_small,625,4,972,312,2,10,ok,,0.1413231221958995,0.11215217504650354,0.9964833855628967
11,balance-scale,hydra,625,4,972,312,2,11,ok,,0.07589439023286104,0.022009650245308876,0.9822571873664856
11,balance-scale,tabpfn,625,4,972,312,2,11,ok,,0.04415852390229702,0.020109078846871853,0.996491014957428
11,balance-scale,hydra_small,625,4,972,312,2,11,ok,,0.13808622024953365,0.11214429046958685,0.9964833855628967
11,balance-scale,hybrid_8l,625,4,972,312,2,11,ok,,0.0378241715952754,0.014537231996655464,0.9926596283912659
11,balance-scale,hydra_small,625,4,972,312,2,12,ok,,0.13863711338490248,0.11256730183959007,0.9964833855628967
11,balance-scale,tabpfn,625,4,972,312,2,12,ok,,0.044313376769423485,0.020100712776184082,0.996491014957428
11,balance-scale,hybrid_8l,625,4,972,312,2,12,ok,,0.037842887453734875,0.014553985558450222,0.9926596283912659
11,balance-scale,hydra,625,4,972,312,2,12,ok,,0.04561977181583643,0.02184027899056673,0.9822571873664856
11,balance-scale,tabpfn,625,4,972,312,2,13,ok,,0.04382266756147146,0.020087518729269505,0.996491014957428
11,balance-scale,hydra,625,4,972,312,2,13,ok,,0.04539359360933304,0.021800894290208817,0.9822571873664856
11,balance-scale,hybrid_8l,625,4,972,312,2,13,ok,,0.03789834212511778,0.014634236693382263,0.9926596283912659
11,balance-scale,hydra_small,625,4,972,312,2,13,ok,,0.1380054671317339,0.1121463943272829,0.9964833855628967
11,balance-scale,hydra_small,625,4,972,312,2,14,ok,,0.13772832322865725,0.11211539525538683,0.9964833855628967
11,balance-scale,tabpfn,625,4,972,312,2,14,ok,,0.08937555178999901,0.020117404870688915,0.996491014957428
11,balance-scale,hybrid_8l,625,4,972,312,2,14,ok,,0.07175381667912006,0.014606903307139874,0.9926596283912659
11,balance-scale,hydra,625,4,972,312,2,14,ok,,0.04559833183884621,0.021791917271912098,0.9822571873664856
