did,best_model,best_score,margin_to_second,hybrid_8l_mean,hybrid_8l_std,hybrid_8l_min,hybrid_8l_max,hybrid_8l_median,hybrid_8l,tabpfn_mean,tabpfn_std,tabpfn_min,tabpfn_max,tabpfn_median,tabpfn,hydra_mean,hydra_std,hydra_min,hydra_max,hydra_median,hydra
50,tabpfn,0.9751107215881347,0.0048563122749327725,0.970254409313202,0.0036754292613411276,0.9664528965950012,0.9755481481552124,0.9690789580345154,0.970254409313202,0.9751107215881347,0.007609473724519128,0.9663028717041016,0.9813966751098633,0.979830801486969,0.9751107215881347,0.7990819334983825,0.012860433226422247,0.7898867130279541,0.8214661478996277,0.7952294945716858,0.7990819334983825
54,tabpfn,0.9572097301483155,0.007794308662414595,0.9494154214859009,0.005835735564424857,0.9402631521224976,0.9561764597892761,0.9502933621406555,0.9494154214859009,0.9572097301483155,0.0030984975001861065,0.9536774754524231,0.961459219455719,0.9565224051475525,0.9572097301483155,0.9267758965492249,0.006315664571765889,0.9165899753570557,0.9323957562446594,0.9270367622375488,0.9267758965492249
188,tabpfn,0.9147530913352966,0.0032959818840025967,0.911457109451294,0.009950631193458138,0.894574761390686,0.9190394282341003,0.9154658317565918,0.911457109451294,0.9147530913352966,0.008937323948097823,0.9000552296638489,0.9235729575157166,0.9160637855529785,0.9147530913352966,0.8992575287818909,0.00700849788504447,0.8906342387199402,0.9069083333015442,0.9020155072212219,0.8992575287818909
458,hybrid_8l,0.9999969720840454,1.2993812560369022e-06,0.9999969720840454,6.770625904619057e-06,0.999984860420227,1.0,1.0,0.9999969720840454,0.9999956727027893,6.6668801018720376e-06,0.999984860420227,1.0,1.0,0.9999956727027893,0.9999135136604309,0.00015832030416056565,0.9996320009231567,1.0,0.9999876022338867,0.9999135136604309
469,hybrid_8l,0.5877482533454895,0.012292003631591775,0.5877482533454895,0.008355769738767197,0.5750206112861633,0.5955395102500916,0.5881410837173462,0.5877482533454895,0.5754562497138977,0.008814225067295896,0.5597556829452515,0.580539345741272,0.5788693428039551,0.5754562497138977,0.5662097096443176,0.016397014639541522,0.5451471209526062,0.5845770239830017,0.5643451809883118,0.5662097096443176
1049,tabpfn,0.933065402507782,0.0033833503723145197,0.9296820521354675,0.013544058117708984,0.9100293517112732,0.942130446434021,0.9312382340431213,0.9296820521354675,0.933065402507782,0.014700182906071568,0.9093576669692993,0.947900116443634,0.9390095472335815,0.933065402507782,0.9139247059822082,0.00993839361145746,0.9021812081336975,0.9260069131851196,0.9174008965492249,0.9139247059822082
1050,hybrid_8l,0.8273314356803894,0.0035611271858214666,0.8273314356803894,0.02418128120841181,0.7924802899360657,0.8503279685974121,0.8372855186462402,0.8273314356803894,0.8237703084945679,0.022378531423814244,0.7964913845062256,0.8528215885162354,0.8180676102638245,0.8237703084945679,0.8159644722938537,0.026828741283345597,0.7844139933586121,0.8497858643531799,0.8121457695960999,0.8159644722938537
1063,tabpfn,0.8339524269104004,0.004014313220977783,0.7965834259986877,0.012991215372036536,0.7857757210731506,0.8174407482147217,0.7895734310150146,0.7965834259986877,0.8339524269104004,0.03386329496224557,0.7999656200408936,0.8705213069915771,0.8173202872276306,0.8339524269104004,0.8299381136894226,0.03364017491001463,0.7895596623420715,0.8682926893234253,0.8173459768295288,0.8299381136894226
1068,hybrid_8l,0.8752937197685242,0.0036592721939087136,0.8752937197685242,0.04341551154217718,0.8066643476486206,0.9227288365364075,0.8806673884391785,0.8752937197685242,0.8716344475746155,0.04416904033499388,0.807631254196167,0.9239242076873779,0.8794491291046143,0.8716344475746155,0.826337194442749,0.03806773742446308,0.761094868183136,0.860058069229126,0.8387342095375061,0.826337194442749
1462,hybrid_8l,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1464,hydra,0.7595757246017456,0.0031595826148986816,0.7451918005943299,0.013333699022863525,0.7223004698753357,0.7573783993721008,0.7487483024597168,0.7451918005943299,0.7564161419868469,0.017515190045542296,0.7269366383552551,0.7736052870750427,0.7599059343338013,0.7564161419868469,0.7595757246017456,0.01191737800297269,0.746635377407074,0.7747589945793152,0.7614477276802063,0.7595757246017456
1480,tabpfn,0.7389021754264832,0.005689191818237349,0.7292548179626465,0.03592074762257581,0.6715181469917297,0.7616562843322754,0.7314643263816833,0.7292548179626465,0.7389021754264832,0.03598908816015138,0.6753246784210205,0.763357937335968,0.7509267926216125,0.7389021754264832,0.7332129836082458,0.03072942862735425,0.678851306438446,0.752085268497467,0.7448866963386536,0.7332129836082458
1494,tabpfn,0.9339252471923828,0.0029311776161193848,0.9309940695762634,0.0107479225599129,0.9163107872009277,0.945400595664978,0.9329100847244263,0.9309940695762634,0.9339252471923828,0.010876679797758483,0.9184373617172241,0.9478592872619629,0.9358945488929749,0.9339252471923828,0.9117385149002075,0.009867878627882557,0.8984582424163818,0.9245103597640991,0.9143916964530945,0.9117385149002075
1510,tabpfn,0.9965328574180603,0.0001673579216003862,0.9962894439697265,0.0034583050901033237,0.9904259443283081,0.9988022446632385,0.9978499412536621,0.9962894439697265,0.9965328574180603,0.003212610303579498,0.990943431854248,0.9990626573562622,0.9975742697715759,0.9965328574180603,0.9963654994964599,0.0037743841372969173,0.9897013902664185,0.9986460208892822,0.9981256127357483,0.9963654994964599
6332,hybrid_8l,0.7922531962394714,0.010737478733062744,0.7922531962394714,0.024481609095886484,0.761566698551178,0.8167851567268372,0.8044548034667969,0.7922531962394714,0.7815157175064087,0.022098959225482776,0.7556915283203125,0.8053199052810669,0.7832892537117004,0.7815157175064087,0.7525364041328431,0.030201500869477864,0.7148102521896362,0.7839944958686829,0.7566137313842773,0.7525364041328431
