
Synchronized per-dataset summary:
  did                     dataset_name                                model  num_samples  num_features  eval_position     mean   median      std      min      max  count  mean_metric
23381                    dresses-sales                                hydra           99            12            972 0.060245 0.058629 0.003335 0.056749 0.065994     10     0.475014
23381                    dresses-sales looped_transformer_6physical_core4x2           99            12            972 0.049437 0.048980 0.001273 0.047793 0.051996     10     0.474472
23381                    dresses-sales                               tabpfn           99            12            972 0.054467 0.054442 0.003005 0.050856 0.059297     10     0.468156
40966                      MiceProtein                            hybrid_8l          552            77            972 0.362957 0.345877 0.058507 0.306498 0.492714     10     1.000000
40966                      MiceProtein                                hydra          552            77            972 0.363894 0.358238 0.045749 0.310127 0.464700     10     0.997710
40966                      MiceProtein looped_transformer_6physical_core4x2          552            77            972 0.355742 0.335347 0.048193 0.316938 0.445051     10     0.999939
40966                      MiceProtein                               tabpfn          552            77            972 0.346457 0.335124 0.026780 0.318471 0.395304     10     0.999989
40975                              car                            hybrid_8l         1728             6            972 0.115294 0.095338 0.053515 0.074026 0.241677     10     0.983252
40975                              car                                hydra         1728             6            972 0.103273 0.091713 0.025668 0.080832 0.146167     10     0.944707
40975                              car looped_transformer_6physical_core4x2         1728             6            972 0.095960 0.080210 0.036189 0.070515 0.183772     10     0.980901
40975                              car                               tabpfn         1728             6            972 0.109871 0.088424 0.050312 0.078608 0.241664     10     0.986350
40982               steel-plates-fault                            hybrid_8l         1941            27            972 0.197087 0.185658 0.037143 0.162379 0.281022     10     0.951551
40982               steel-plates-fault                                hydra         1941            27            972 0.222554 0.215917 0.031044 0.190934 0.290973     10     0.920159
40982               steel-plates-fault looped_transformer_6physical_core4x2         1941            27            972 0.201827 0.188746 0.030604 0.173748 0.257251     10     0.949981
40982               steel-plates-fault                               tabpfn         1941            27            972 0.226775 0.196215 0.064589 0.180900 0.384856     10     0.954483
40994 climate-model-simulation-crashes                            hybrid_8l          540            18            972 0.100140 0.087972 0.021058 0.080402 0.132706     10     0.941784
40994 climate-model-simulation-crashes                                hydra          540            18            972 0.108941 0.094556 0.024633 0.084952 0.148609     10     0.934011
40994 climate-model-simulation-crashes looped_transformer_6physical_core4x2          540            18            972 0.106838 0.102677 0.022372 0.078655 0.142455     10     0.940600
40994 climate-model-simulation-crashes                               tabpfn          540            18            972 0.125147 0.114555 0.039112 0.085193 0.219948     10     0.943450

Saved raw timings to result_csvs/per_dataset_speed_synchronized_raw.csv
Saved summary to result_csvs/per_dataset_speed_synchronized_summary.csv
root@df529ac12d80:/app# python3 evaluation_per_dataset_speed_synchronized.py --device cuda:7
